,nama_tempat,rating,jumlah_ulasan,alamat,link,thumbnail,kategori
10,Wisata Bunga,4.6,988,"Limau Manis, Kec. Tj. Morawa, Kabupaten Deli Serdang, Sumatera Utara 20362, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJa3WzNuQ5MTARZhuSeRuo4b8,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npGQVwp711XJbIHtMs1-WgSvG_is0MUc0F1mPqU1IcrAjOVz4O1Uowpq0-psZtREHhcWfDjIKniBI9r9jQVYvWsd2fX8C07Dg4AOC-vWu08dtiblTCq0Tx77NPdEEwkAXaSm82p1A=w122-h92-k-no,Wisata Belanja
11,Mall Centre Point (Medan),4.6,20994,"Jl. Jawa No.8, Gg. Buntu, Kec. Medan Tim., Kota Medan, Sumatera Utara 20231, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJEStdk8cxMTARxiMa_MqFmU0,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npTdZTWIuUGn2FSIEIY5Pg4EoeOJe7QPAlYUUWWEp3fHqecruoceOpyU534HmnFVflETVvj0X_XNzdoYBDH5pPxcCt87JvrpnKk-0R70nVcdQg3iOFuTD5C9FJLuGGpqfRjr7Ww=w163-h92-k-no,Wisata Belanja
12,BINJAI MILENIAL MARKET,4.3,1474,"Jalan T. Amir Hamzah Simpang Kebun Lada (Lapangan Asrama 121, Pahlawan, Kec. Binjai Utara, Kota Binjai, Sumatera Utara 20748, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ_RJ48igpMTARF9UHtMBRxdc,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np4-F8vt-1cObdZpuJMdtzuYJsdiVHHO3DTemMA2JbyYZT5Mwpc0AjPnn1NaIBI3yxMR4z99qoyC-JlvD_CQcVqjsKnoHvGu3m2JZPTz5a21e6TQtuuslLV8-ZNTlCjW8AUheklXQ=w122-h92-k-no,Wisata Belanja
13,Geosite Sipinsur,4.6,4966,"Parulohan, Kec. Paranginan, Kabupaten Humbang Hasundutan, Sumatera Utara 22476, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJEyuTER4ZLjAR4dOwLp_C_0c,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npaHMeTDbcl42NfTbuS-10BV-8-INAjKOF3oEkn4EA9YY6o3P_Uqh7T0Uz6sWYSu2TyFS3OnvD1qqjtWRa0BPwVBW7MPUJOE3kWl3mOwsF36LCtWMnhWNFDaZ0E5uPqCLwm5Qem=w122-h92-k-no,Wisata Belanja
14,Pantai Bali Lestari,4.1,3979,"Jl. Mayjen H. T. Rizal Nurdin, Pantai Cermin Kanan, Kec. Pantai Cermin, Kabupaten Serdang Bedagai, Sumatera Utara 20987, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJuXoWK6ZNMTARWoK-3XUBwfc,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noYtodBj0XQlbuVNc9w0x9W56WuUyO5YWVOaeHKxxvHqKjKBFBnT8LAsSa-r_M9V1UURbjwCtnH4Syxn9GRZLLR8DlnF9xe0KjI_0L7cnykia02TBRCw0UAVhQTSjHwl2fbWAgy=w92-h92-k-no,Wisata Belanja
15,Lau mentar canyon,4.7,81,"Rumah liang, Batu pinuh, Kec. Sinembah Tj. Muda Hulu, Kabupaten Deli Serdang, Sumatera Utara 20582, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJIQ2qcH0FMTARRw418QMxtMo,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqZJ6yJQ-vVGoGON63eBUWIsY7qIldSjtw_C0qiOMmGum2wipG6SSkNyb4Aw8cUfOoHL87nMEHGEcEITbBE_8xoGGotjRM_QmndOoCI48UBssPJScyO12AdlLPRomTtMJblZAv1qA=w122-h92-k-no,Wisata Belanja
16,DeliPark Mall,4.7,7962,"Jl. Putri Hijau Dalam No.1 Blok OPQ, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20111, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJJYi4FsQxMTARI9RVpE-6NcA,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrUUSKDwE86DxOoxQHlEgA16_98pbJ_utxtvjVWW_f7BY7WEzErCL6hL7HC8aJofE_A_IMCI5bCZ98dwS7SRmZ9Pv6nae8h-63aGrgFF6IQtyGARJI2Km9IYFXfQ3l15Exk3qKTDQ=w122-h92-k-no,Wisata Belanja
17,Salib Kasih,4.7,761,"2273+FFF, Simorangkir Julu, Kec. Siatas Barita, Kabupaten Tapanuli Utara, Sumatera Utara 22416, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJf9YeESVuLjAR2JMc1Qvvs-Q,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npo8k-qHXEV3cva_QfmYfgO8HMnhT5VZwnMF9LV9ATFmcUKj-WGOJjzfVzjUywV92-Rb9Zb8PLiBqvmHpPxff7zul17ozmLf6hcXrXLOkm8YWziVGi4Efd8skxrjjTRGadYSo0W=w163-h92-k-no,Wisata Belanja
18,Air Terjun Sikulikap,4.5,2961,"6GWM+5HH, Desa Doulu Kabupaten Tanah Berastagi, Martelu, Kec. Sibolangit, Kabupaten Karo, Sumatera Utara 20357, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJx0-3Wt0cMTARKZOuQJM9aHI,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqprGfOpeX0bkZVZTe0rntUlPyt1yz55PWoQlK5BB4tKEPOYAduh1ylqljMoQp3beXORXCAKwSH7MZ4FRwQU0Ay4UIfWBkK7tpjoCGGKkXi53Ed7a3azamWqJf2WNGHMamnvW71=w163-h92-k-no,Wisata Belanja
19,Wisata Merci Themepark and Resto,4.5,5060,"komp.Medan Resort City, Jl. Perjuangan, Deli Tua, Kec. Namorambe, Kabupaten Deli Serdang, Sumatera Utara 20143, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJeaibaZY7MTARsinvW6PAiqI,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npUDUi1hwN8ZHDAHcvj9vm7qM4858c29cbuX0osHWNJWlwyzgfaz2izHecMUbsAtZoqf573PoBDHB3V7Gk2AHjpHbv2lLVCfvSEizmcd39IcfFSQuaS6Tn8RHEEwohSRQlslxU=w122-h92-k-no,Wisata Belanja
