,nama_tempat,rating,jumlah_ulasan,alamat,link,thumbnail,kategori
10,Pemandian alam Bah Damanik,4.2,1752,"Ambarisan, Kec. Sidamanik, Kabupaten Simalungun, Sumatera Utara 21161, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJoQCPniuXMTARwK4S9cJk1lQ,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npnq2Zh9OHVaHy1AsPCNBGMaNNBbW7qU9ZXUmdMGn9kzfJPWMgTfGcWo59bomrsulnhQ3HEDAO4YxhVAVTnwvBlE0COt26hMDo8ombdRJ8p6tgBhTgMno13ChwY7QTe-rOuKp6t=w122-h92-k-no,Wisata Alam
11,Wisata Sawah Pematang Johar,4.3,1216,"Jl. Johar Raya Gg. Tanah Wakaf Dusun VI, Pematang Johar, Kec. Labuhan Deli, Kabupaten Deli Serdang, Sumatera Utara 20373, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJgRX8qv0zMTARklVWHQ2R1w4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqZHQmbjm0WJIa4V0Li2kapHSvZ8eoxky7jHkkdYNmXTUpfbGz2plzr2OhIMuGpHcTMO3HexlFv01HPzPnubdDe4drSEb14ISVFl_35zUDFzeVx0ltweueObz87NmGzqZupA2Q=w199-h92-k-no,Wisata Alam
12,Air Terjun Sikulikap,4.5,2961,"6GWM+5HH, Desa Doulu Kabupaten Tanah Berastagi, Martelu, Kec. Sibolangit, Kabupaten Karo, Sumatera Utara 20357, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJx0-3Wt0cMTARKZOuQJM9aHI,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npK_n2Xu0UT5cApbfzxBQAAlEiwhpor9uy8UtBDoJo9Wo3mWs7esGSGMpcDw4Czt3B6n-n3ooiGMmz7DTY7n1Xm2dszlCzC2OwfM76M95tzmYHL8XmoI0gskPTEx0SYis4ZajDE=w163-h92-k-no,Wisata Alam
13,TAMAN WISATA DANAU SIOMBAK MARELAN,4.0,1309,"Jl. Ps. Nippon, Paya Pasir, Kec. Medan Marelan, Kota Medan, Sumatera Utara 20252, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ935f953SNjARYn9Wo-1ZxvE,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npai7XKBDZNyZK1VKTzE9_JKXbT4v0KlYJ2Cf2SXWlpNVt-lTUuq_qv7kCdeQq3SH9isYW-7vfG01H0QlIP20fn_H8t7fbHLREnf_Nisy7gq19Ccc_BHWdiWHhTSLSz6HZiew4dcQ=w122-h92-k-no,Wisata Alam
14,Penatapan Simarjarunjung,4.4,1431,"RQJ7+FQ2, Jl. Simarjarunjung, Tiga Runggu, Kec. Purba, Kabupaten Simalungun, Sumatera Utara 21163, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ1WWXsRu8MTARzgllp5F5Uc4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqs_I2r2agRYeGXII5HYUgDOO_bOhjKR9tb3A1v7_U7qiZF0seMqsbJpkmaQbSCMLsbj4OM4fgwTU889yZ7PRJSpuJWzcCsg6Y46gP9RydFS681alDWLukh8bc9vDVtMNoHVj7o7w=w122-h92-k-no,Wisata Alam
15,The Waterfall - Taman Simalem Resort,4.6,442,"Kodon-Kodon, Kec. Merek, Kabupaten Karo, Sumatera Utara 22173, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJHR1bg76yMTARqxq23b_FSoI,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nomw8_bS8kzu5Nf--iotepa2q2XX0DdJmpaNsxJXly90UlaU5AMij0SrAOgb4R6dzfCT-aNo5XicQxogRms-BzxJHAC9ikbLg-eNm7Cen76U0-dvoZ4YV7pDJp9q0c8rJMTo69xzg=w122-h92-k-no,Wisata Alam
16,Penatapen Doulu,4.5,1971,"Jalan Jamin Ginting KM 55, Doulu, Berastagi, Martelu, Sibolangit, Martelu, Kec. Sibolangit, Kabupaten Karo, Sumatera Utara 22152, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ8-_woN0cMTARbboPZtenejw,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no8gAChI7uCIyUHk6hedR4fa4f4c8t9T-m3OlmpGlYdJag726GuEDUHFAQCGpNg2njEB7caSBwPRWjmObruuWgjJl9eAuxwopPtaXYr5XUTUQsusH5aBNmK7LCmV4TntYjhIs0=w80-h106-k-no,Wisata Alam
17,Lau mentar canyon,4.7,81,"Rumah liang, Batu pinuh, Kec. Sinembah Tj. Muda Hulu, Kabupaten Deli Serdang, Sumatera Utara 20582, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJIQ2qcH0FMTARRw418QMxtMo,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npaKVCYaAer0rlEzpfM38EjNC8It4zKhWHa2DhW0xXjhyskqpM2cKOJyFQ8l1tCtwsV6H_D8ED3ntOyjLBSdsi-GMPh4sDY9SbKypH-IgmkmoweLKpBMxXR0iLbiC7gd-2voDMy=w163-h92-k-no,Wisata Alam
18,Danau Lau Kawar,4.3,910,"59XJ+F5J, Kuta Gugung, Kec. Naman Teran, Kabupaten Karo, Sumatera Utara 22153, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJLxlDym37MDARC-XeNSJyvZg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np2hQpTCFokqwJ-XWC6rYIoJ_K7MOv1fi9zR3JDGQLEHNgpdHUalCVwR6kH6dAtmH6geVm3IfhW2tUc394FDs3UHdPW5XgPS7kFYV4ifm-tOr8J3qdJR8opnx2n7wRqQqmGYswufg=w163-h92-k-no,Wisata Alam
19,Wisata Alam Fishing-Camp Siarubung,4.9,33,"HM76+88, Turpuk Limbong, Kec. Harian, Kabupaten Samosir, Sumatera Utara, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJwUZUzbjbMTARdCxS6g1vZlg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noJ0RoQ-D1nKILLFCjxmVuQOf8Obz1Es3YFz4pD4Gn4DoWcZ7ccvkOiB-QpbUNXNf44LoCxLF8AR1vQBw_ZjoObjzoy_RIg0akSPUFDmeLc85bun__-98pGuZzvs6WFGg5cKME=w122-h92-k-no,Wisata Alam
