,nama_tempat,rating,jumlah_ulasan,alamat,link,thumbnail,kategori
10,Museum Perkebunan Indonesia (MUSPERIN-1),4.5,464.0,"Jl. Brigjend Katamso No.53, Kp. Baru, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20215, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJLYU6BUkwMTARWh0rUZ7Vvas,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqCztGJqADi3uMlIW2G3aXx7lMlsHGSRMJWL9O84B8oCZFtprIoNjKGAjKlFRh4V6uwlKg8DZbe7QcmSTkBcLht2QG0iAYcZjHKdzZwcna3BkSgWFStRP5ydMftHtnfuqzcVaY=w138-h92-k-no,Wisata Edukasi
11,Ekowisata Mangrove Sicanang,4.0,417.0,"QM52+7QR, Jl. Pulau Sicanang, Belawan Pulau Sicanang, Medan Kota Belawan, Kota Medan, Sumatera Utara 20414, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJUYZBrXPSNjAR85zIt-6Bu7c,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noFhbSjDEylBFkcFJCyb7u0QXLGcqndp0JRU7mwfHt79fX5-vETB3dSIuo9vZf7U0JyUcTbtcAAIUx17jiQbqb4qM2Y96pbnQPJnlxfk9zAkuhdeMNd2w3cp_RnSO7JflkMcLqu=w162-h92-k-no,Wisata Edukasi
12,Ladang Edukasi - Mitra Outing Class Anda,4.7,117.0,"Jl. Jati Ps. IV Gang Harjo, Sei Mencirim, Kec. Sunggal, Kabupaten Deli Serdang, Sumatera Utara 20351, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ-2x0VPopMTAR0yeLICJuXRc,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrvlXMMHIl0F7zK8K6Sh2xtIgVsPpxBopwgBDmt0d1hYRXOWTTleYEgFNuzdsUS9cob9G-lOnbDaufCRHHKGOmIm3JnF5fCU_ihLicjwFDYAqXMKvs5EQZ2am308i3FVx-uFzua=w122-h92-k-no,Wisata Edukasi
13,Wisata Punden Rejo,4.3,327.0,"Gg. Benteng, Punden Rejo, Kec. Tj. Morawa, Kabupaten Deli Serdang, Sumatera Utara 20362, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ-YL9vVhJMTAR3v0zXTnivIw,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrw_dsUH_gSMd5JcuM-NB-zUH-Uqogs-rtSfXH7M-rRZ3pa49stLcGe_7BKECtdbYtneoH7WoJ2LNGXdO7_M-kx3MabBZGz4TVP4BUt8yeiVHec4jjOXTCBXMtVhF4f9a91nPQ4=w163-h92-k-no,Wisata Edukasi
14,Taman Wisata Kera Sibaganding,4.4,182.0,"MWVG+3RJ, Sibaganding, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJD4i7VHbsMTAR0kX-5UsSKCk,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npZsCTFKTytxRGE9LybRdXZYe0wpZWzUwusy8N122EvkayHqFKSUaPHH-v-dOcnBTmtTcQGKtngplLsWxUadDJbaf-GwpzHQLm5WJ4lVMVLEG9gVLHOkaFeySTpX0GC8MssfXMiFw=w163-h92-k-no,Wisata Edukasi
15,Taman Edukasi Binjai,4.5,50.0,"HF7P+PGP, Gg. Cemp., Tanah Seribu, Kec. Binjai Sel., Kota Binjai, Sumatera Utara 20734, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJRXbQ9yAoMTARICMLOippE5U,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no59iGnYktf3uapbQqeWZxPKkIk9Poc8oPlOh76vAkHOiWD_tSJRQxcJ7gZ-TfWn4UrKYBQgtIta1h4h3OH_ef22CNoBPtqeXhXuB5WF4I7sogUzbtxqeEwMoHjjffKXzHY0Wdm=w163-h92-k-no,Wisata Edukasi
16,Kampung Ladang Outbound,4.4,1162.0,"Jl. Besar Tj. Anom Tanjung anom, Namorih, Kec. Pancur Batu, Kabupaten Deli Serdang, Sumatera Utara 20553, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJJbl_Rs4lMTAR7nIE26Xsl54,https://lh3.googleusercontent.com/p/AF1QipM1Yb20gPz9NCHOafLeMzpWKQHFCd7I_4ap9rc=w122-h92-k-no,Wisata Edukasi
17,Kandang Rusa - Universitas Sumatera Utara,4.3,748.0,"HM84+MJH, Padang Bulan, Kec. Medan Baru, Kota Medan, Sumatera Utara 20222, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJeUQrItkvMTARg7QnkT1IDaM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrkoGMZ1UUpXFh6Gk-eCXP5XSalK1_Hj_RhQTQIPD6DehtGLu5a3hjPl9hLmwiY6y2rnF_fH4b5MwdWgXSSbVDqiw_W0k68QgUU-N5Vq05dpXm83eqv5OfAGQBzGIzvysZZMxM=w163-h92-k-no,Wisata Edukasi
18,Agrowisata Paloh Naga,4.4,383.0,"Jl. P.Naga, Denai Lama, Kec. Pantai Labu, Kabupaten Deli Serdang, Sumatera Utara 20553, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJYRBvNsNNMTARhVAsIBpofls,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npPgNJTl6X-BGRJ4gpOz-TlJ0kn3XgIOzH5KzMYtnRYgcXpzubCydkNTIsOR2MlL4czmKpf2dr_t4gwt7Z_v--yqDgFcnMTvxnm-99ox03wtBtYpACSZEgcDdH-4VWX-J3KPfSu=w122-h92-k-no,Wisata Edukasi
19,Taman Eden 100,4.5,440.0,"Taman eden 100 Lumbanrang, Ps. Lumban Julu, Kec. Lumban Julu, Toba, Sumatera Utara 22386, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJuRnRlnPwMTARU8j-LqvwRlo,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrTFoZhRdcGo1rRgOgLowxQC2cvhF6vaOYVz6AV_2L4dnMKIN5iEtD6bW6LBwCHeRlWrnwnoh6QlG7Bl8vm9HCTN8E0NUPN3N0kc0-0vKqDwPweLMmVCFoBaIQs0_mCc_34UVBB=w122-h92-k-no,Wisata Edukasi
