,nama_tempat,rating,jumlah_ulasan,alamat,link,thumbnail,kategori
10,Museum Sejarah Al-Qur'an Sumatera Utara,4.7,15,"JP45+HG6, Jl. William Iskandar Ps. V, Kenangan Baru, Kec. Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara 20371, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJvzamTH0xMTAR057UL0XbNFI,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nppL5x6WcXtjZ0xxDeuCaA9JS_9wWqsmp6pw4Lb63tMauh5Fmf9VnbzAPDibc0FoLi-A8Bp_aR1VdwaTEl2Jc75y9LVc6yTAJqT-YjJ_34gDkcPCRQOkJb_R1e-B6mcxMLJQnVg=w163-h92-k-no,Wisata Budaya dan Sejarah
11,Meriam Puntung,4.5,95,"Jl. Brigjend Katamso No.118, A U R, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20159, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJiWJuj0kwMTARI7ICMX9rEbI,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nocYcTr-BkPW4m53tZm06IeRrR6Tqe-r0NgGmtJbysRZvS3XppsqM6GVXc_Q8dMf3DBc2TVOBZY7U5MgRygAy0d3lSFqc7MeWBcscJMqdVP69ALgA4C0u-RQ6kE5SQ7N710vRSo=w163-h92-k-no,Wisata Budaya dan Sejarah
12,Batu Kursi Raja Siallagan ( Stone Chair of King Siallagan ),4.5,1339,"Siallagan Pindaraya, Jl. Lkr. Tuktuk, Simanindo, Kabupaten Samosir, Sumatera Utara 22395, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJC4Fw1gnqMTARsycDlYPcujo,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npmi4DUToeLv6i2q-No-N9c39-HTZ5-sxuWiYEv5AOPY71R9MjUkTcPnpA7mYc0LHOZxMUmmasFcIqipelH8ehNWGTuK_Cwfz6p7huLGQrPSAq5MvQbrKQQEGjxn7ppOEvQJpW2=w122-h92-k-no,Wisata Budaya dan Sejarah
13,Istana Raja Sisingamangaraja,4.6,500,"8R47+82P, Simamora, Kec. Bakti Raja, Kabupaten Humbang Hasundutan, Sumatera Utara 22457, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJiQCYk_IiLjAR1vcwpJTlVqE,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noAEYMxMwam3SgGGEhPFu9tsDua12tAX0fTmiJhTO__tw2prr6zBCfJ5QlYe9IhJooRzz-ojnXPEo6X_6we2i7Ws2_OVt15nj3CUBq1YftO1hKgHI2iNSioBrGlJe7dSSc_X7vn=w122-h92-k-no,Wisata Budaya dan Sejarah
14,Situs Objek Diduga Cagar Budaya Batu Sijongjong dan Batu Sigadap,4.7,18,"RG2H+F2G, Silalahi I, Kec. Silahsabungan, Kabupaten Dairi, Sumatera Utara, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJO-veBfa0MTAR9c_J4e99ric,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq4S5E52kGyyWOg3fo6hL9RORmCLadrtwIP9kNkwEUkBXHWpx__0T95ktEZ5VZ5QqUKIjyMSDn3Ma-UJeMji_1sbTpf8VsI7U1xKjSzOuXLshwiZqsAcntuu_npt1viB_Dyo_Mnaw=w163-h92-k-no,Wisata Budaya dan Sejarah
15,Rumah Adat Karo GARISTA,4.7,32,"Jl. Bunga Herba 5 Ujung No.89, Simpang Selayang, Medan Selayang, Medan City, North Sumatra 20131, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJIZIexsElMTARM3O6xkIji5M,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqlQsnovALDFL-3ID4ReyqUPEQprjxMXjAlPD2UT04dpnkm5jMuFT04Jr0DM2S8uOY5xtY7-99h9zPsTmudX2qQ3vv1u0oM5QPFwpmyEeCklqdLLdC4CgQyt7hXdHx2SWeD4vyU=w122-h92-k-no,Wisata Budaya dan Sejarah
16,Museum Pusaka Karo,4.5,152,"Jalan Perwira, Gundaling I, Berastagi, Gundaling I, Kec. Berastagi, Kabupaten Karo, Sumatera Utara 22152, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJb3stBe0CMTARnyA9vPslIb4,https://lh3.googleusercontent.com/p/AF1QipMFGX1wb5H8U4JvY7MpZvzYsD2PmczPEr8iQxdc=w138-h92-k-no,Wisata Budaya dan Sejarah
17,Tempat Pengasingan Soekarno,4.4,298,"MW8G+6H3, Pantai Bebas Parapat, Girsang Simpanganbolon, Tiga Raja, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ8dIWfKruMTARTJsOI9QWmDk,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrjWG16mTuJpVbv4_dUQFIFtIBLcndJrvqROJSa_CXVBXwaPVX5b6YFf4i0jR11iFP9ijgEEGbMlAgW6jt7LXXKFWOpC2HjWZgyEOLe8S4NT7NzEU0guA79UromDOepNWMr0CQd-Q=w122-h92-k-no,Wisata Budaya dan Sejarah
18,Museum Perjuangan Pers Sumatera Utara,4.8,26,"Jl. Sei Alas No.6, Babura Sunggal, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20112, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJl-kzBuMvMTARHAXOtknUwSU,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noaQRSdsJArYp5UkNB2xsUQ4uXVdB05mfVdNLvNowC4AOEVQfDvORp_awHTM4qYh4D9MwH0QzXIp_triKTmD2py9KBb7zzPDOy7WIDfoPfwR6P8I0QbCJp_erjRjKLx_nqJR3BqAQ=w163-h92-k-no,Wisata Budaya dan Sejarah
19,Replika ISTANA SERDANG,4.2,125,"HX8M+PGX, Tualang, Perbaungan, Serdang Bedagai Regency, North Sumatra 20986, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJvYyvcrpPMTARhvvVEWU-s6M,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nparIasdcBaxEz7DUQNUGREwEWLYgyODoDoqcdVI_i-rFah_2e6vSO8_U7bMpibhqTR6Uxw2CeMiG149RrquN9kpQqjFReRyuhxrmC3ixTYNv_ORGujv1L7Fn4kK3PK3hhbarEr=w163-h92-k-no,Wisata Budaya dan Sejarah
20,Budayaland,4.1,534,"Ujung Serdang, Kec. Tj. Morawa, Kabupaten Deli Serdang, Sumatera Utara 20362, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJoRnGA-45MTARt103VCTzrBE,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noC5itETj19BzeTfHS9HGBQzivxIEY653OZdUHQs359NbIlNRzHc2PBYaZBdItBd1tYgdvSoLc9tJhXhekTMLPim8IYBu_3SLb6-_nfON3mwwRyZRzwIjT00jd1RgZvP3ZinBT5=w122-h92-k-no,Wisata Budaya dan Sejarah
